code,name,description,is_enabled,extra
F138,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS, OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F139,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS, TRASTORNOS MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADOS",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F140,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA, INTOXICACION AGUDA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F141,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA, USO NOCIVO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F142,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA, SINDROME DE DEPENDENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F143,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA, ESTADO DE ABSTINENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F144,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA, ESTADO DE ABSTINENCIA CON DELIRIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F145,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA, TRASTORNO PSICOTICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F146,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA, SINDROME AMNESICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F147,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA, TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F148,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA, OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F149,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA, TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F150,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA, INTOXICACION  AGUDA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES INCLUIDA LA CAFEINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F151,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA, USO NOCIVO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES INCLUIDA LA CAFEINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F152,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO  DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA, SINDROME DE DEPENDENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES INCLUIDA LA CAFEINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F153,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO  DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA, ESTADO DE ABSTINENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES INCLUIDA LA CAFEINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F154,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO  DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA, ESTADO DE ABSTINENCIA CON DELIRIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES INCLUIDA LA CAFEINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F155,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA, TRASTORNO PSICOTICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES INCLUIDA LA CAFEINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F156,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA, SINDROME AMNESICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES INCLUIDA LA CAFEINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F157,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA, TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES INCLUIDA LA CAFEINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F158,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA, OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES INCLUIDA LA CAFEINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F159,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA, TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES INCLUIDA LA CAFEINA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F160,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS, INTOXICACION AGUDA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F161,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS, USO NOCIVO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F162,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS, SINDROME DE DEPENDENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F163,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS, ESTADO DE ABSTINENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F164,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS, ESTADO DE ABSTINENCIA CON DELIRIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F165,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS, TRASTORNO PSICOTICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F166,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS, SINDROME AMNESICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F167,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS, TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F168,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS, OTROS TRASTORNO MENTALES Y DEL COMPORTAMIENTO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F169,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS, TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F170,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO, INTOXICACION AGUDA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F171,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO, USO NOCIVO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F172,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO, SINDROME DE DEPENDENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F173,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO, ESTADO DE ABSTINENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F174,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO, ESTADO DE ABSTINENCIA CON DELIRIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F175,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO, TRASTORNO PSICOTICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F176,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO, SINDROME AMNESICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F177,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO, TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F178,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO, OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F179,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO, TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F180,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES, INTOXICACION AGUDA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F181,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES, USO NOCIVO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F182,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES, SINDROME DE DEPENDENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F183,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES, ESTADO DE ABSTINENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F184,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES, ESTADO DE ABSTINENCIA CON DELIRIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F185,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES, TRASTORNO PSICOTICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F186,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,  SINDROME AMNESICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F187,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES, TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F188,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES, OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F189,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES, TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F190,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, INTOXICACION AGUDA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F191,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS  PSICOACTIVAS, USO NOCIVO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F192,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, SINDROME DE DEPENDENDENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F193,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, ESTADO DE ABSTINENCIA",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F194,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, ESTADO DE ABSTINENCIA CON DELIRIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F195,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, TRASTORNO PSICOTICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F196,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, SINDROME AMNESICO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F197,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F198,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS  Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F199,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F200,ESQUIZOFRENIA PARANOIDE,ESQUIZOFRENIA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F201,ESQUIZOFRENIA HEBEFRENICA,ESQUIZOFRENIA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F202,ESQUIZOFRENIA CATATONICA,ESQUIZOFRENIA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F203,ESQUIZOFRENIA INDIFERENCIADA,ESQUIZOFRENIA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F204,DEPRESION POSTESQUIZOFRENICA,ESQUIZOFRENIA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F205,ESQUIZOFRENIA RESIDUAL,ESQUIZOFRENIA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F206,ESQUIZOFRENIA SIMPLE,ESQUIZOFRENIA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F208,OTRAS ESQUIZOFRENIAS,ESQUIZOFRENIA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F209,"ESQUIZOFRENIA, NO ESPECIFICADA",ESQUIZOFRENIA,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F21X,TRASTORNO ESQUIZOTIPICO,TRASTORNO ESQUIZOTIPICO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F220,TRASTORNO DELIRANTE,TRASTORNOS DELIRANTES PERSISTENTES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F228,OTROS TRASTORNOS DELIRANTES PERSISTENTES,TRASTORNOS DELIRANTES PERSISTENTES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F229,"TRASTORNOS DELIRANTE PERSISTENTE, NO ESPECIFICADO",TRASTORNOS DELIRANTES PERSISTENTES,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F230,"TRASTORNO PSICOTICO AGUDO POLIMORFO, SIN SINTOMAS DE ESQUIZOFRENIA",TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F231,"TRASTORNO PSICOTICO AGUDO POLIMORFO, CON SINTOMAS DE ESQUIZOFRENIA",TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F232,TRASTORNO PSICOTICO AGUDO DE TIPO ESQUIZOFRENICO,TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F233,"OTRO TRASTORNO PSICOTICO AGUDO, CON PREDOMINIO DE IDEAS DELIRANTES",TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F238,OTROS TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F239,"TRASTORNO PSICOTICO AGUDO Y TRANSITORIO, NO ESPECIFICADO",TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F24X,TRASTORNO DELIRANTE INDUCIDO,TRASTORNO DELIRANTE INDUCIDO,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F250,TRASTORNO ESQUIZOAFECTIVO DE TIPO MANIACO,TRASTORNOS ESQUIZOAFECTANIVOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F251,TRASTORNO ESQUIZOAFECTIVO DE TIPO DEPRESIVO,TRASTORNOS ESQUIZOAFECTANIVOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F252,TRASTORNO ESQUIZOAFECTIVO DE TIPO MIXTO,TRASTORNOS ESQUIZOAFECTANIVOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
F258,OTROS TRASTORNOS ESQUIZOAFECTIVOS,TRASTORNOS ESQUIZOAFECTANIVOS,SI,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99)
